Date,Sales
2013-05-01,19628
2013-06-01,18351
2013-07-01,19242
2013-08-01,19310
2013-09-01,18951
2013-10-01,20178
2013-11-01,19252
2013-12-01,21723
2014-01-01,20295
2014-02-01,18815
2014-03-01,20130
2014-04-01,20249
2014-05-01,20676
2014-06-01,20026
2014-07-01,20492
2014-08-01,20202
2014-09-01,20251
2014-10-01,21191
2014-11-01,19738
2014-12-01,23468
2015-01-01,21162
2015-02-01,19551
2015-03-01,21756
2015-04-01,20943
2015-05-01,20837
2015-06-01,20850
2015-07-01,21111
2015-08-01,20866
2015-09-01,21324
2015-10-01,21903
2015-11-01,20942
2015-12-01,24392
2016-01-01,21415
2016-02-01,21629
2016-03-01,22737
2016-04-01,21860
2016-05-01,22281
2016-06-01,21896
2016-07-01,21377
2016-08-01,22183
2016-09-01,21440
2016-10-01,21339
2016-11-01,21116
2016-12-01,23676
2017-01-01,21657
2017-02-01,20566
2017-03-01,22625
2017-04-01,21617
2017-05-01,23025
2017-06-01,22372
2017-07-01,21639
2017-08-01,22850
2017-09-01,21967
2017-10-01,23399
2017-11-01,22671
2017-12-01,24666
2018-01-01,23549
2018-02-01,21336
2018-03-01,23348
2018-04-01,22506
2018-05-01,24074
2018-06-01,22588
2018-07-01,22753
2018-08-01,23870
2018-09-01,22138
2018-10-01,24740
2018-11-01,23756
2018-12-01,24866
2019-01-01,24464
2019-02-01,22729
2019-03-01,24008
2019-04-01,24222
2019-05-01,25030
2019-06-01,23125
2019-07-01,23908
2019-08-01,24047
2019-09-01,22892
2019-10-01,25220
2019-11-01,23140
2019-12-01,25516
2020-01-01,24806
2020-02-01,23471
2020-03-01,27235
2020-04-01,24137
2020-05-01,23806
2020-06-01,24763
2020-07-01,25641
2020-08-01,24762
2020-09-01,25251
2020-10-01,26425
2020-11-01,24310
2020-12-01,27830
2021-01-01,25088
2021-02-01,23403
2021-03-01,27872
2021-04-01,26907
2021-05-01,26226
2021-06-01,27218
2021-07-01,26794
2021-08-01,27350
2021-09-01,26961
2021-10-01,27607
2021-11-01,27066
2021-12-01,30489
2022-01-01,27662
2022-02-01,25467
2022-03-01,28112
2022-04-01,27322
2022-05-01,27736
2022-06-01,28087
2022-07-01,27464
2022-08-01,28514
2022-09-01,28190
2022-10-01,28991
2022-11-01,28184
2022-12-01,30567
2023-01-01,29139
2023-02-01,27217
2023-03-01,30449
2023-04-01,28821
2023-05-01,30906
2023-06-01,30324
2023-07-01,28984
2023-08-01,31033
2023-09-01,30101
2023-10-01,32912
2023-11-01,31133
2023-12-01,32852
