State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,2020 employment/population,,2020 employment/population w 2020 base,2021 employment/population w 2020 base,2018-2019 employment/population percent change,2019-2020 employment/population percent change,2020-2021 employment/population percent change
55,Wisconsin,453910,Pet and Pet Supplies Stores,01: Total,182,184,184,184,"2,276","2,331","2,387","2,076",0.01098901099,0,0.0235950236,0.02346041056,"5,809,319","5,824,581","5,832,655",,"5,896,271","5,880,101",,0.0003917843038,0.0004002004608,0.0004092475896,,0.0004048321388,0.0003530551601,0.02148160833,0.0226064929,-0.1278974018
56,Wyoming,453910,Pet and Pet Supplies Stores,01: Total,20,20,21,21,171,179,184,167,0,0.05,0.04469273743,0.02717391304,"579,054","580,116","582,328",,"577,605","579,483",,0.0002953092458,0.0003085589779,0.0003159731285,,0.0003185567992,0.0002881879192,0.04486731208,0.02402830972,-0.09533270061
,,,,,,,,"9,684",,,,"115,234",,,,,,,,,,,,,,,,,,,,
,,,,,,,,97,,,,"1,206",,,,,,,,,,,,,,,,,,,,
,,,,,,,,21,,,,292,,,,,,,,,,,,,,,,,,,,
,,,,,,,,205,,,,"2,890",,,,,,,,,,,,,,,,,,,,
,,,,,,,,55,,,,588,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"1,163",,,,"14,433",,,,,,,,,,,,,,,,,,,,
,,,,,,,,276,,,,"3,060",,,,,,,,,,,,,,,,,,,,
,,,,,,,,126,,,,"1,420",,,,,,,,,,,,,,,,,,,,
,,,,,,,,50,,,,483,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,,101,,,,,,,,,,,,,,,,,,,,
,,,,,,,,881,,,,"8,367",,,,,,,,,,,,,,,,,,,,
,,,,,,,,261,,,,"3,024",,,,,,,,,,,,,,,,,,,,
